"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"CTMT","BRBBB-FC","490000079","",49.0,"","","MT","BRBBB-FC","",0,0,0,0
"UCBT","11057551","13805033PE","",,"AN","","BT","BRBBB-FC","",-49.515874422,-3.65490697000001,0,0
"UCBT","12866674","13805927PE","",,"AN","","BT","BRBBB-FC","",-49.506793167,-3.62966005099997,0,0
"UCBT","10170540","13804466PE","",,"AN","","BT","BRBBB-FC","",-49.445083468,-3.76726008200001,0,0
"UCBT","13841373","16165142PE","",,"AN","","BT","BRBBB-FC","",-49.591803604,-3.79834048100003,0,0
"UCBT","12771959","13805971PE","",,"AN","","BT","BRBBB-FC","",-49.396663716,-3.615240309,0,0
"UCBT","11736238","13982540PE","",,"AN","","BT","BRBBB-FC","",-49.451293364,-3.77819042499999,0,0
"UCBT","10987016","13804734PE","",,"AN","","BT","BRBBB-FC","",-49.516993469,-3.98591073300003,0,0
"UCBT","13341010","16164744PE","",,"AN","","BT","BRBBB-FC","",-49.481843409,-3.827420496,0,0
"UCBT","19014177","16195104PE","",,"AN","","BT","BRBBB-FC","",-49.330021062,-4.05352993299999,0,0
"UCBT","17415697","14182839PE","",,"AN","","BT","BRBBB-FC","",-49.509983458,-3.88007057599998,0,0
"UCBT","17643290","14146004PE","",,"AN","","BT","BRBBB-FC","",-49.565773867,-3.60446311200002,0,0
"UCBT","17320785","13808696PE","",,"AN","","BT","BRBBB-FC","",-49.315283964,-3.59924018200002,0,0
"UCBT","17408739","16195113PE","",,"AN","","BT","BRBBB-FC","",-49.46596339,-3.93809066199998,0,0
"UCBT","17406337","13809004PE","",,"AN","","BT","BRBBB-FC","",-49.452804127,-3.80688072499998,0,0
"UCBT","17643401","14146005PE","",,"AN","","BT","BRBBB-FC","",-49.565773867,-3.60446311200002,0,0
"UCBT","17643630","13797363PE","",,"AN","","BT","BRBBB-FC","",-49.460931094,-3.66416864299998,0,0
"UCBT","17408810","13985224PE","",,"AN","","BT","BRBBB-FC","",-49.463352919,-3.94220051600001,0,0
