TABLE;CODE;PAC1;PAC2;VOLTAGE;PHASES;SEC_PHASES;VOLTAGE_TYPE;FEEDER;TRANSFORMER_TYPE
CTMT;BRBBB-FC;490000079;;49;;;MT;BRBBB-FC;
UCBT;11057551;13805033PE;;;AN;;BT;BRBBB-FC;
UCBT;12866674;13805927PE;;;AN;;BT;BRBBB-FC;
UCBT;10170540;13804466PE;;;AN;;BT;BRBBB-FC;
UCBT;13841373;16165142PE;;;AN;;BT;BRBBB-FC;
UCBT;12771959;13805971PE;;;AN;;BT;BRBBB-FC;
UCBT;11736238;13982540PE;;;AN;;BT;BRBBB-FC;
UCBT;10987016;13804734PE;;;AN;;BT;BRBBB-FC;
UCBT;13341010;16164744PE;;;AN;;BT;BRBBB-FC;
UCBT;19014177;16195104PE;;;AN;;BT;BRBBB-FC;
UCBT;17415697;14182839PE;;;AN;;BT;BRBBB-FC;
UCBT;17643290;14146004PE;;;AN;;BT;BRBBB-FC;
UCBT;17320785;13808696PE;;;AN;;BT;BRBBB-FC;
UCBT;17408739;16195113PE;;;AN;;BT;BRBBB-FC;
UCBT;17406337;13809004PE;;;AN;;BT;BRBBB-FC;
UCBT;17643401;14146005PE;;;AN;;BT;BRBBB-FC;
UCBT;17643630;13797363PE;;;AN;;BT;BRBBB-FC;
UCBT;17408810;13985224PE;;;AN;;BT;BRBBB-FC;
UCBT;17407392;13982695PE;;;AN;;BT;BRBBB-FC;
UCBT;17318977;15166116PE;;;AN;;BT;BRBBB-FC;
UCBT;17318985;15166119PE;;;AN;;BT;BRBBB-FC;
UCBT;17911058;15168167PE;;;AN;;BT;BRBBB-FC;
UCBT;17911244;8012487PE;;;AN;;BT;BRBBB-FC;
UCBT;17911295;8012488PE;;;AN;;BT;BRBBB-FC;
UCBT;17407465;13982694PE;;;AN;;BT;BRBBB-FC;
UCBT;17408208;13808996PE;;;AN;;BT;BRBBB-FC;
UCBT;17408259;13808995PE;;;AN;;BT;BRBBB-FC;
UCBT;17320998;13808689PE;;;AN;;BT;BRBBB-FC;
UCBT;17319299;6749808PE;;;AN;;BT;BRBBB-FC;
UCBT;19028445;13797397PE;;;AN;;BT;BRBBB-FC;
UCBT;18436795;16195059PE;;;AN;;BT;BRBBB-FC;
UCBT;18410222;6750009PE;;;AN;;BT;BRBBB-FC;
UCBT;19060845;13797769PE;;;AN;;BT;BRBBB-FC;
UCBT;19203735;13797747PE;;;AN;;BT;BRBBB-FC;
UCBT;18448700;14147281PE;;;AN;;BT;BRBBB-FC;
UCBT;18448874;14147283PE;;;AN;;BT;BRBBB-FC;
UCBT;17643649;14146008PE;;;AN;;BT;BRBBB-FC;
UCBT;18447380;14147276PE;;;AN;;BT;BRBBB-FC;
UCBT;18447410;14147277PE;;;AN;;BT;BRBBB-FC;
UCBT;19056651;6904992PE;;;AN;;BT;BRBBB-FC;
UCBT;23388677;6864548PE;;;AN;;BT;BRBBB-FC;
UCBT;103280290;16169174PE;;;AN;;BT;BRBBB-FC;
UCBT;103242908;16167043PE;;;AN;;BT;BRBBB-FC;
UCBT;109015040;8742063PE;;;AN;;BT;BRBBB-FC;
UCBT;2000342872;15487245PE;;;AN;;BT;BRBBB-FC;
UCBT;2000422044;16261432PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337662;14077711PE;;;AN;;BT;BRBBB-FC;
UCBT;2000342710;14936995PE;;;AN;;BT;BRBBB-FC;
UCBT;2000422042;16015209PE;;;AN;;BT;BRBBB-FC;
UCBT;2000394610;16261419PE;;;AN;;BT;BRBBB-FC;
UCBT;2000394642;16261423PE;;;AN;;BT;BRBBB-FC;
UCBT;2000334076;16261318PE;;;AN;;BT;BRBBB-FC;
UCBT;2000334078;16261319PE;;;AN;;BT;BRBBB-FC;
UCBT;2000334119;14020488PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337647;14078009PE;;;AN;;BT;BRBBB-FC;
UCBT;2000398251;15038623PE;;;AN;;BT;BRBBB-FC;
UCBT;2000338100;14937005PE;;;AN;;BT;BRBBB-FC;
UCBT;2000338102;14937003PE;;;AN;;BT;BRBBB-FC;
UCBT;2000338103;14937004PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337616;14078661PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337640;15487215PE;;;AN;;BT;BRBBB-FC;
UCBT;2000337644;14194755PE;;;AN;;BT;BRBBB-FC;
UCBT;2000397967;15035266PE;;;AN;;BT;BRBBB-FC;
UCBT;2000620495;16556066PE;;;AN;;BT;BRBBB-FC;
UCBT;2000620554;16563385PE;;;AN;;BT;BRBBB-FC;
UCBT;14081119;15166092PE;;;AN;;BT;BRBBB-FC;
UCBT;13007004;15168211PE;;;AN;;BT;BRBBB-FC;
UCBT;15920513;13800954PE;;;AN;;BT;BRBBB-FC;
UCBT;16279307;15168140PE;;;AN;;BT;BRBBB-FC;
UCBT;13223050;16164420PE;;;AN;;BT;BRBBB-FC;
UCBT;13224048;13806168PE;;;AN;;BT;BRBBB-FC;
UCBT;15921170;8011052PE;;;AN;;BT;BRBBB-FC;
UCBT;5493331;16164215PE;;;AN;;BT;BRBBB-FC;
UCBT;5493030;16164363PE;;;AN;;BT;BRBBB-FC;
UCBT;12411367;16164996PE;;;AN;;BT;BRBBB-FC;
UCBT;5493293;13803189PE;;;AN;;BT;BRBBB-FC;
UCBT;5493323;17610976PE;;;AN;;BT;BRBBB-FC;
UCBT;10916305;15166109PE;;;AN;;BT;BRBBB-FC;
UCBT;10922577;15168055PE;;;AN;;BT;BRBBB-FC;
UCBT;16087769;16168954PE;;;AN;;BT;BRBBB-FC;
UCBT;14860665;15168203PE;;;AN;;BT;BRBBB-FC;
UCBT;14861181;15168201PE;;;AN;;BT;BRBBB-FC;
UCBT;17644297;13985599PE;;;AN;;BT;BRBBB-FC;
UCBT;19360830;13797714PE;;;AN;;BT;BRBBB-FC;
UCBT;15978058;13800891PE;;;AN;;BT;BRBBB-FC;
UCBT;14861262;15168182PE;;;AN;;BT;BRBBB-FC;
UCBT;14861300;15168200PE;;;AN;;BT;BRBBB-FC;
UCBT;14863168;15168177PE;;;AN;;BT;BRBBB-FC;
UCBT;14862676;15168192PE;;;AN;;BT;BRBBB-FC;
UCBT;14631500;13807811PE;;;AN;;BT;BRBBB-FC;
UCBT;14862781;15168287PE;;;AN;;BT;BRBBB-FC;
UCBT;17570919;6758426PE;;;AN;;BT;BRBBB-FC;
UCBT;18414937;14147227PE;;;AN;;BT;BRBBB-FC;
UCBT;19532143;13982492PE;;;AN;;BT;BRBBB-FC;
UCBT;19532593;13797670PE;;;AN;;BT;BRBBB-FC;
UCBT;18286130;13984858PE;;;AN;;BT;BRBBB-FC;
UCBT;14988610;15168260PE;;;AN;;BT;BRBBB-FC;
UCBT;17133560;6758541PE;;;AN;;BT;BRBBB-FC;
UCBT;15950226;6759010PE;;;AN;;BT;BRBBB-FC;
UCBT;17653814;13797334PE;;;AN;;BT;BRBBB-FC;
UCBT;20277050;6913717PE;;;AN;;BT;BRBBB-FC;
UCBT;14863109;15168184PE;;;AN;;BT;BRBBB-FC;
UCBT;14863273;15168189PE;;;AN;;BT;BRBBB-FC;
UCBT;14863281;15168285PE;;;AN;;BT;BRBBB-FC;
UCBT;14758828;13807763PE;;;AN;;BT;BRBBB-FC;
UCBT;17646320;8012186PE;;;AN;;BT;BRBBB-FC;
UCBT;96488688;6917776PE;;;AN;;BT;BRBBB-FC;
UCBT;96017308;6916438PE;;;AN;;BT;BRBBB-FC;
UCBT;96916949;6919139PE;;;AN;;BT;BRBBB-FC;
UCBT;96916965;13982474PE;;;AN;;BT;BRBBB-FC;
UCBT;96917023;6919142PE;;;AN;;BT;BRBBB-FC;
UCBT;96917040;6919143PE;;;AN;;BT;BRBBB-FC;
UCBT;96017340;6916440PE;;;AN;;BT;BRBBB-FC;
UCBT;96681976;6918386PE;;;AN;;BT;BRBBB-FC;
UCBT;96682310;6918388PE;;;AN;;BT;BRBBB-FC;
UCBT;92427773;6758521PE;;;AN;;BT;BRBBB-FC;
UCBT;91400235;15168133PE;;;AN;;BT;BRBBB-FC;
UCBT;96681720;6918374PE;;;AN;;BT;BRBBB-FC;
UCBT;91403056;15168085PE;;;ABCN;;BT;BRBBB-FC;
UCBT;91403390;15168104PE;;;AN;;BT;BRBBB-FC;
UCBT;91403412;15168103PE;;;AN;;BT;BRBBB-FC;
UCBT;91403820;6758511PE;;;AN;;BT;BRBBB-FC;
UCBT;96687761;13799850PE;;;AN;;BT;BRBBB-FC;
UCBT;96687850;13799849PE;;;AN;;BT;BRBBB-FC;
UCBT;96687974;6918426PE;;;AN;;BT;BRBBB-FC;
UCBT;92594181;13798750PE;;;AN;;BT;BRBBB-FC;
UCBT;85587153;7881294PE;;;AN;;BT;BRBBB-FC;
UCBT;91402700;15168108PE;;;AN;;BT;BRBBB-FC;
UCBT;91402866;15168083PE;;;AN;;BT;BRBBB-FC;
UCBT;96488661;13799607PE;;;AN;;BT;BRBBB-FC;
UCBT;91400510;15168129PE;;;AN;;BT;BRBBB-FC;
UCBT;91401053;15168123PE;;;AN;;BT;BRBBB-FC;
UCBT;91401460;15168078PE;;;AN;;BT;BRBBB-FC;
UCBT;96488637;6917774PE;;;AN;;BT;BRBBB-FC;
UCBT;96677936;6918285PE;;;AN;;BT;BRBBB-FC;
UCBT;91875900;6749976PE;;;AN;;BT;BRBBB-FC;
UCBT;94950147;15166115PE;;;AN;;BT;BRBBB-FC;
UCBT;92426831;16195072PE;;;AN;;BT;BRBBB-FC;
UCBT;95546226;6915867PE;;;AN;;BT;BRBBB-FC;
UCBT;90197649;15168275PE;;;AN;;BT;BRBBB-FC;
UCBT;94946786;6758390PE;;;AN;;BT;BRBBB-FC;
UCBT;92369080;16195090PE;;;AN;;BT;BRBBB-FC;
UCBT;91402076;15168080PE;;;AN;;BT;BRBBB-FC;
UCBT;91402289;15168089PE;;;AN;;BT;BRBBB-FC;
UCBT;94950309;6758764PE;;;AN;;BT;BRBBB-FC;
UCBT;94947375;6750111PE;;;AN;;BT;BRBBB-FC;
UCBT;91402343;15168113PE;;;AN;;BT;BRBBB-FC;
UCBT;91402432;15168111PE;;;AN;;BT;BRBBB-FC;
UCBT;91402548;15168081PE;;;AN;;BT;BRBBB-FC;
UCBT;93965906;6750136PE;;;AN;;BT;BRBBB-FC;
UCBT;97818673;16195066PE;;;AN;;BT;BRBBB-FC;
UCBT;97873283;6921813PE;;;AN;;BT;BRBBB-FC;
UCBT;97868662;13985723PE;;;AN;;BT;BRBBB-FC;
UCBT;103398452;15168047PE;;;ABN;;BT;BRBBB-FC;
